key_gvkey,gvkey,conm,cik,fyear,cmonth,cyear,datadate,indfmt,sich,consol,popsrc,datafmt,curcd,fyr,act,ap,aqc,aqs,acqsc,at,ceq,che,cogs,csho,dlc,dp,dpc,dt,dvpd,exchg,gdwl,ib,ibc,intan,invt,lct,lt,ni,capx,oancf,ivncf,fincf,oiadp,pi,ppent,ppegt,rectr,sale,seq,txt,xint,xsga,costat,mkvalt,prcc_f,recch,invch,apalch,txach,aoloch,gdwlip,spi,wdp,rcp
104543830,1045,AMERICAN AIRLINES GROUP INC,6201,2019,12,2019,12/31/2019,INDL,4512,C,D,STD,USD,12,8206,2062,0,NA,NA,59995,-118,3984,32027,428.203,4569,2318,2318,33444,NA,14,4091,1686,1686,6175,1851,18311,60113,1686,4268,3815,-2243,-1568,3706,2256,43732,62391,1750,45768,-118,570,1095,7717,A,12280.862,28.68,73,NA,327,0,-37,NA,-436,NA,-282
104544196,1045,AMERICAN AIRLINES GROUP INC,6201,2020,12,2020,12/31/2020,INDL,4512,C,D,STD,USD,12,11095,1196,0,NA,NA,62008,-6867,7473,22290,621.48,4448,2365,2370,41021,NA,14,4091,-8885,-8885,6120,1614,16569,68875,-8885,1958,-6543,-4342,10994,-11387,-11453,39738,56495,1342,17337,-6867,-2568,1227,4069,A,9800.7396,15.77,538,NA,-626,0,1314,NA,966,-1601,-1426
107543830,1075,PINNACLE WEST CAPITAL CORP,764622,2019,12,2019,12/31/2019,INDL,4911,C,D,STD,USD,12,1030.03,346.448,0,NA,NA,18479.247,5430.648,10.283,2208.32,112.436,927.388,590.929,664.14,NA,NA,11,0,538.32,557.813,290.564,345.92,2078.365,12926.059,538.32,1209.975,956.726,-1130.977,178.768,671.96,542.04,14377.787,21402.118,386.42,3471.209,5430.648,-15.773,235.251,NA,A,10111.3695,89.93,-3.784,-51.826,50.641,NA,-208.813,NA,39.823,NA,NA
107544196,1075,PINNACLE WEST CAPITAL CORP,764622,2020,12,2020,12/31/2020,INDL,4911,C,D,STD,USD,12,1198.319,318.585,0,NA,NA,20020.421,5633.503,59.968,2184.452,112.688,243.785,614.378,686.253,NA,NA,11,0,550.559,570.052,282.57,334.297,1360.433,14267.628,550.559,1345.114,966.365,-1277.818,361.138,788.152,648.225,15381.704,22882.235,425.991,3586.982,5633.503,78.173,247.501,NA,A,9009.4056,79.95,-22.223,11.623,-6.059,NA,-216.471,NA,41.986,NA,NA
107843830,1078,ABBOTT LABORATORIES,1800,2019,12,2019,12/31/2019,INDL,3845,C,D,STD,USD,12,15667,3252,170,NA,NA,67887,31088,4140,11949,1762.503,1683,3014,3014,18898,NA,11,23195,3687,3687,40220,4316,10863,36586,3687,1638,6136,-1815,-4289,5041,4077,8972,17733,5425,31904,31088,390,670,11900,A,153091.0106,86.86,-275,-593,NA,-545,82,NA,-587,NA,-215
107844196,1078,ABBOTT LABORATORIES,1800,2020,12,2020,12/31/2020,INDL,3845,C,D,STD,USD,12,20441,3946,42,NA,NA,72548,32784,7148,13496,1771.23,461,3327,3327,19677,NA,11,23744,4471,4471,38528,5012,11907,39545,4495,2177,7901,-2215,-2779,5785,4968,10130,19894,6414,34608,32784,497,546,12000,A,193931.9727,109.49,-924,-493,NA,-614,1139,NA,-467,-208,-123
116143830,1161,ADVANCED MICRO DEVICES,2488,2019,12,2019,12/31/2019,INDL,3674,C,D,STD,USD,12,4597,1201,0,NA,NA,6028,2827,1507,3721,1170,43,142,288,728,NA,14,289,341,341,499,982,2359,3201,341,217,493,-149,43,583,372,705,1473,1859,6731,2827,31,94,2285,A,53656.2,45.86,-623,-137,NA,0,218,NA,-188,NA,NA
116144196,1161,ADVANCED MICRO DEVICES,2488,2020,12,2020,12/31/2020,INDL,3674,C,D,STD,USD,12,6143,546,0,NA,NA,8962,5837,2290,5199,1211,41,217,368,572,NA,14,289,2490,2490,518,1399,2417,3125,2490,294,1071,-952,6,1383,1280,849,1761,2066,9763,5837,-1210,47,2964,A,111060.81,91.71,-209,-417,NA,0,-305,NA,-68,NA,NA
120943738,1209,AIR PRODUCTS & CHEMICALS INC,2969,2019,09,2019,9/30/2019,INDL,2810,C,D,STD,USD,9,4618.3,528.2,123.2,NA,NA,18942.8,11053.6,2414.7,4892.7,220.415,98.6,1082.8,1082.8,3267.8,NA,11,797.1,1760,1809.4,1216.6,388.3,1820.9,7554.5,1760,1989.7,2969.9,-2113.4,-1370.5,2120.5,2289.5,10337.6,22333.7,1324.5,8918.9,11053.6,480.1,150.5,822.9,A,48901.2719,221.86,105.4,-3,-41.8,NA,8.7,NA,-30.4,NA,-54.5
120944104,1209,AIR PRODUCTS & CHEMICALS INC,2969,2020,09,2020,9/30/2020,INDL,2810,C,D,STD,USD,9,8684.9,546.2,183.3,NA,NA,25168.5,12079.8,6357.9,4673.1,221.017,548.4,1185,1185,8306.6,NA,11,891.5,1901,1945.4,1327.3,404.8,2416.7,12725.4,1886.7,2509,3264.7,-3560,3284.7,2138.4,2423.8,12341.5,25553,1330.7,8856.3,12079.8,478.4,125.2,859.8,A,65832.1236,297.86,219.2,-5.2,-31.9,NA,-130.6,NA,33.8,NA,33.8
123043830,1230,ALASKA AIR GROUP INC,766421,2019,12,2019,12/31/2019,INDL,4512,C,D,STD,USD,12,2037,146,0,NA,NA,12993,4331,1521,6379,123,504,423,423,3207,NA,11,1943,769,769,2065,72,3201,8662,769,696,1722,-791,-813,1107,1016,8613,12099,NA,8781,4331,247,78,872,A,8333.25,67.75,43,NA,NA,0,314,NA,-44,NA,NA
123044196,1230,ALASKA AIR GROUP INC,766421,2020,12,2020,12/31/2020,INDL,4512,C,D,STD,USD,12,4006,108,0,NA,NA,14046,2988,3346,4342,124.218,1428,420,420,4690,NA,11,1943,-1324,-1324,2050,57,4293,11058,-1324,206,-234,-593,1981,-1704,-1840,7611,11142,NA,3566,2988,-516,98,508,A,6459.336,52,-160,NA,NA,0,259,NA,-97,-627,-220
130043830,1300,HONEYWELL INTERNATIONAL INC,773840,2019,12,2019,12/31/2019,INDL,9997,C,D,STD,USD,12,24303,5730,50,NA,NA,58679,18494,10416,22975,711.1,5063,1088,1088,13191,NA,14,15563,6143,6230,19297,4421,18098,39966,6143,839,6897,-533,-6600,7397,7559,5998,14386,7493,36709,18494,1329,357,5249,A,125864.7,177,11,-100,563,NA,-430,NA,-475,NA,-433
130044196,1300,HONEYWELL INTERNATIONAL INC,773840,2020,12,2020,12/31/2020,INDL,9997,C,D,STD,USD,12,28175,5750,261,NA,NA,64586,17549,15220,20859,696.8,6229,1002,1002,19615,NA,14,16058,4779,4865,19618,4489,19197,46789,4779,906,6208,-987,-81,6271,6012,6343,15110,6827,32637,17549,1147,359,4505,A,148209.36,212.7,669,-67,570,NA,191,NA,-1077,-509,-518
132743738,1327,SKYWORKS SOLUTIONS INC,4127,2019,09,2019,9/30/2019,INDL,3674,C,D,STD,USD,9,2234.6,190.5,0,NA,NA,4839.6,4122.3,1054.6,1353,170.1,0,371.6,371.6,0,NA,14,1189.8,853.6,853.6,1297.7,609.7,374,717.3,853.6,398.4,1367.4,-336.9,-912.5,1042.1,961,1205.6,2883.9,465.3,3376.8,4122.3,107.4,0,610.1,A,13480.425,79.25,190.5,-119.6,-33,0,16.6,NA,-92.6,NA,-7.3
132744104,1327,SKYWORKS SOLUTIONS INC,4127,2020,09,2020,9/30/2020,INDL,3674,C,D,STD,USD,9,2317.6,226.9,0,NA,NA,5106.7,4164.2,974.8,1372.2,165.6,28.2,364.3,364.3,178.9,NA,14,1189.8,814.8,814.8,1243.3,806,448.4,942.5,814.8,389.4,1204.5,-581.4,-907.7,924.7,891.7,1417.4,3347.8,393.6,3355.7,4164.2,76.9,0,694.5,A,24094.8,145.5,71.7,-190.4,61.1,0,-75.8,NA,-32.9,NA,-4
