ticker,cusip,oftic,cname,fpedats,statpers,measure,fiscalp,fpi,estflag,curcode,numest,numup,numdown,medest,meanest,stdev,highest,lowest,usfirm,actual,anndats_act
004W,04041310,ANET,ARISTA NETWORKS,2019-12-31,2020-01-16,EPS,QTR,6,P,USD,26,0,0,2.1,2.1,0.04,2.17,2.03,1,2.29,2020-02-13
004W,04041310,ANET,ARISTA NETWORKS,2020-03-31,2020-02-20,EPS,QTR,6,P,USD,26,5,20,1.88,1.88,0.03,1.97,1.83,1,2.02,2020-05-05
004W,04041310,ANET,ARISTA NETWORKS,2020-03-31,2020-03-19,EPS,QTR,6,P,USD,25,0,9,1.87,1.85,0.05,1.93,1.73,1,2.02,2020-05-05
004W,04041310,ANET,ARISTA NETWORKS,2020-03-31,2020-04-16,EPS,QTR,6,P,USD,25,2,7,1.86,1.81,0.11,1.95,1.42,1,2.02,2020-05-05
004W,04041310,ANET,ARISTA NETWORKS,2020-12-31,2020-11-19,EPS,QTR,6,P,USD,26,17,7,2.37,2.38,0.06,2.53,2.28,1,2.49,2021-02-18
004W,04041310,ANET,ARISTA NETWORKS,2020-06-30,2020-05-14,EPS,QTR,6,P,USD,25,9,14,1.95,1.96,0.06,2.17,1.9,1,2.11,2020-08-04
004W,04041310,ANET,ARISTA NETWORKS,2020-06-30,2020-06-18,EPS,QTR,6,P,USD,25,0,1,1.94,1.95,0.03,2.05,1.9,1,2.11,2020-08-04
004W,04041310,ANET,ARISTA NETWORKS,2020-06-30,2020-07-16,EPS,QTR,6,P,USD,24,0,0,1.94,1.95,0.03,2.05,1.9,1,2.11,2020-08-04
004W,04041310,ANET,ARISTA NETWORKS,2020-12-31,2020-12-17,EPS,QTR,6,P,USD,26,0,0,2.37,2.38,0.06,2.53,2.28,1,2.49,2021-02-18
004W,04041310,ANET,ARISTA NETWORKS,2020-12-31,2021-01-14,EPS,QTR,6,P,USD,26,4,0,2.38,2.38,0.06,2.53,2.28,1,2.49,2021-02-18
004W,04041310,ANET,ARISTA NETWORKS,2020-09-30,2020-08-20,EPS,QTR,6,P,USD,25,17,6,2.21,2.21,0.04,2.31,2.12,1,2.42,2020-11-02
004W,04041310,ANET,ARISTA NETWORKS,2020-09-30,2020-09-17,EPS,QTR,6,P,USD,25,0,1,2.21,2.21,0.04,2.31,2.12,1,2.42,2020-11-02
004W,04041310,ANET,ARISTA NETWORKS,2020-09-30,2020-10-15,EPS,QTR,6,P,USD,26,0,1,2.21,2.21,0.04,2.31,2.12,1,2.42,2020-11-02
02J8,G0250X10,AMCR,AMCR,2019-12-31,2019-11-14,EPS,QTR,6,P,USD,3,0,1,0.14,0.14,0,0.15,0.14,1,0.16,2020-02-11
02J8,G0250X10,AMCR,AMCR,2019-12-31,2019-12-19,EPS,QTR,6,P,USD,4,0,0,0.14,0.14,0,0.15,0.14,1,0.16,2020-02-11
