,key_gvkey,key_gvkey_fund,key_tic,month,quarter,year,qyear,date,comnam,permno,hsiccd,ticker,gvkey,prc,prc_change,prc_change_perc,S&P500_index,S&P500_index_change,S&P500_index_change_perc,EA,Intercept3d,Slope3d,Exp. Return1 [-1],Exp. Return1 [0],Exp. Return1 [1],AR1 [-1],AR1 [0],AR1 [1],CAR3d,Intercept4d,Slope4d,Exp. Return2 [-3],Exp. Return2 [-2],Exp. Return2 [-1],Exp. Return2 [0],AR2 [-3],AR2 [-2],AR2 [-1],AR2 [0],CAR4d,UE,fund_at,fund_ceq,fund_dt,fund_gdwl,fund_ni,fund_mkvalt
0,743512020,#N/A,MMM43858,1,1,2020,12020,28-01-2020,3M CO,22592,3291,MMM,7435,165.5800018,-3.580001831,-0.02162098,132.7261721,-0.395601957,-0.002980587,28-01-2020,-0.001280011,1.16620818,0.009287123,-0.004755996,-0.000722256,-0.066509709,-0.016864983,0.00387037,-0.079504321,-0.001329829,1.188241789,-0.012938867,-0.020210171,0.009436953,-0.004871488,0.015245542,0.006064849,-0.066659539,-0.036866522,-0.082215669,0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1,743522020,#N/A,MMM43949,4,2,2020,22020,28-04-2020,3M CO,22592,3291,MMM,7435,157.6100006,-1.350006104,-0.008565485,115.6713331,2.891333743,0.024996113,28-04-2020,-0.000649283,0.833386353,-0.001109458,0.020182136,-0.0130663,0.026882364,-0.028747621,-0.0147079,-0.016573158,-0.000847393,0.826725815,0.009778902,0.015123717,-0.00130389,0.019817539,0.008720358,0.030114337,0.027076796,-0.017285843,0.048625647,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,743532020,#N/A,MMM44040,7,3,2020,32020,28-07-2020,3M CO,22592,3291,MMM,7435,155.3300018,0.919998169,0.005922862,132.1388002,1.981326184,0.01499428,28-07-2020,-0.000521237,0.863868148,-0.008140194,0.012431844,-0.003693061,-0.040316088,-0.006508982,-0.022738971,-0.06956404,-0.000512097,0.862726266,-0.005458555,0.007055859,-0.008120982,0.012423862,0.008911396,0.01421547,-0.040335299,-0.002988534,-0.020196967,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,743542020,743542020,MMM44131,10,4,2020,42020,27-10-2020,3M CO,22592,3291,MMM,7435,161.0299988,-2.5,-0.015525058,138.0585806,-4.456249682,-0.032277962,27-10-2020,-0.000364164,0.853769575,-0.008081235,-0.027922107,0.006082806,-0.02279265,0.012397049,-0.006398223,-0.016793824,-0.000255134,0.853954547,0.005067532,-0.017220955,-0.007973877,-0.027819047,-0.010398231,-0.004216025,-0.022900008,-0.005126827,-0.042641091,0.29,47344,12867,19763,13802,5384,100984.9225
4,107812020,#N/A,ABT43852,1,1,2020,12020,22-01-2020,ABBOTT LABORATORIES,20482,5047,ABT,1078,91.86000061,-1.129997253,-0.012301298,134.6110683,0.365705334,0.002716755,22-01-2020,7.76E-05,1.053801517,0.000130262,0.002940477,-0.010218009,0.023607587,-0.015241776,0.006580824,0.014946635,-9.44E-07,1.037094599,0.003409303,-0.003081979,5.09E-05,0.002816588,0.004746578,0.011284264,0.023686923,-0.017047876,0.022669888,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,107822020,#N/A,ABT43937,4,2,2020,22020,16-04-2020,ABBOTT LABORATORIES,20482,5047,ABT,1078,96,0.010002136,0.000104189,111.7464794,3.556687068,0.03182818,16-04-2020,0.001162237,0.894421379,0.007620763,0.029630042,-0.016077893,0.048020291,-0.029525853,0.036804878,0.055299316,0.000746716,0.904338356,0.027845741,-0.020856229,0.007276851,0.02953016,0.010476926,0.041049218,0.048364203,-0.010372737,0.08951761,-0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,107832020,#N/A,ABT44028,7,3,2020,32020,16-07-2020,ABBOTT LABORATORIES,20482,5047,ABT,1078,96.40000153,2.849998474,0.029564299,131.1899582,0.811009852,0.006181951,16-07-2020,0.000236357,0.86308166,-0.002102204,0.005571885,0.004701777,-0.001309373,0.023992414,-0.006414605,0.016268436,0.00041727,0.859855293,0.013932711,0.013274246,-0.001912549,0.005732853,0.004651492,0.006869222,-0.001499028,0.024912807,0.034934493,0.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,107842020,107842020,ABT44125,10,4,2020,42020,21-10-2020,ABBOTT LABORATORIES,20482,5047,ABT,1078,105.9300003,3.550003052,0.033512726,140.3416736,0.919682227,0.006553166,21-10-2020,0.000787148,0.854477245,-0.001155855,0.006386679,0.006113073,-0.021269397,0.027126047,-0.021549704,-0.015693054,0.000788223,0.854609904,-0.01176014,0.004308972,-0.001155082,0.006388623,-0.003102605,-0.001347108,-0.02127017,0.036615331,0.010895448,0.16,72548,32784,19677,23744,4495,193931.9727
8,1610112020,#N/A,ABBV43868,2,1,2020,12020,7/2/2020,ABBVIE INC,13721,2834,ABBV,16101,92.29000092,2.459999084,0.026655099,133.6471683,0.804211654,0.006017424,7/2/2020,-0.000222126,0.894055257,-0.006976816,0.005157784,0.004693446,0.065591184,0.021497315,0.008499166,0.095587665,-0.000239107,0.876078028,0.01012293,0.001010078,-0.006857977,0.005032626,0.016785518,0.005338798,0.065472345,0.009869581,0.097466241,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,1610122020,#N/A,ABBV43952,5,2,2020,22020,1/5/2020,ABBVIE INC,13721,2834,ABBV,16101,82.83999634,-0.979995728,-0.011829983,113.4175312,0.335864607,0.002961311,1/5/2020,0.000362761,0.762354306,-0.021690203,0.00262033,0.008511123,0.029476084,-0.014450313,0.034366987,0.049392759,0.00037932,0.762580894,0.019440878,-0.010982733,-0.021680199,0.002637559,-0.007357747,-0.00764197,0.02946608,-0.004472236,0.009994127,0.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
